,iteration,prompt_version,start,end,type,wh_counter,wh_trap,delta,delta_us,delta_min,avg_wh_counter,avg_wh_trap
27,2,V23,2026-04-17 19:08:54.125773+02:00,2026-04-17 19:09:01.060748+02:00,cluster,2.0,0.7027777777777777,6934975.0,6934975.0,0.11558291666666666,1038.2157109434424,364.81746509540403
28,2,V23,2026-04-17 19:09:01.060762+02:00,2026-04-17 19:20:39.481039+02:00,global,82.0,81.97583333333333,698420277.0,698420277.0,11.64033795,422.6681408334884,422.54357400336465
29,2,V41,2026-04-17 19:20:39.481074+02:00,2026-04-17 19:20:51.779216+02:00,cluster,1.0,1.3969444444444445,12298142.0,12298142.0,0.20496903333333333,292.72714528747514,408.9235593474201
30,2,V41,2026-04-17 19:20:51.779230+02:00,2026-04-17 19:32:40.039146+02:00,global,84.0,83.4986111111111,708259916.0,708259916.0,11.804331933333334,426.9619008059183,424.4134013649305
31,2,V43c,2026-04-17 19:32:40.039180+02:00,2026-04-17 19:32:55.526681+02:00,cluster,1.0,1.6216666666666666,15487501.0,15487501.0,0.25812501666666665,232.44550557252586,376.9491282034461
32,2,V43c,2026-04-17 19:32:55.526695+02:00,2026-04-17 19:45:03.157852+02:00,global,85.0,85.53944444444446,727631157.0,727631157.0,12.12718595,420.5427393483647,423.2116739882815
33,2,V29,2026-04-17 19:45:03.157889+02:00,2026-04-17 19:45:12.596139+02:00,cluster,2.0,0.9136111111111112,9438250.0,9438250.0,0.15730416666666666,762.8532831827935,348.4756178316955
34,2,V29,2026-04-17 19:45:12.596153+02:00,2026-04-17 19:57:56.325370+02:00,global,90.0,89.57194444444444,763729217.0,763729217.0,12.728820283333333,424.2341300922104,422.2163992450743
35,2,V31,2026-04-17 19:57:56.325408+02:00,2026-04-17 19:58:08.140014+02:00,cluster,1.0,1.1555555555555554,11814606.0,11814606.0,0.1969101,304.7075797534001,352.10653660392904
36,2,V31,2026-04-17 19:58:08.140028+02:00,2026-04-17 20:10:41.910222+02:00,global,89.0,88.40194444444445,753770194.0,753770194.0,12.562836566666666,425.0632388364245,422.2069306179014
37,2,V44b,2026-04-17 20:10:41.910259+02:00,2026-04-17 20:10:56.391680+02:00,cluster,2.0,1.6383333333333332,14481421.0,14481421.0,0.24135701666666667,497.1887772615685,407.2804733734348
38,2,V44b,2026-04-17 20:10:56.391694+02:00,2026-04-17 20:24:08.398110+02:00,global,93.0,93.47555555555556,792006416.0,792006416.0,13.200106933333334,422.7238482371082,424.8854468875919
39,3,V18,2026-04-17 20:24:08.398153+02:00,2026-04-17 20:35:55.954661+02:00,global,83.0,83.14694444444444,707556508.0,707556508.0,11.792608466666668,422.2984265166281,423.0460699825829
40,3,V23,2026-04-17 20:35:55.954694+02:00,2026-04-17 20:36:02.448450+02:00,cluster,1.0,0.6875,6493756.0,6493756.0,0.10822926666666667,554.3786985528868,381.1353552551097
41,3,V23,2026-04-17 20:36:02.448466+02:00,2026-04-17 20:47:41.017947+02:00,global,82.0,82.13666666666667,698569481.0,698569481.0,11.642824683333334,422.57786523599935,423.28216167805937
42,3,V41,2026-04-17 20:47:41.017984+02:00,2026-04-17 20:47:53.307539+02:00,cluster,1.0,1.4125,12289555.0,12289555.0,0.20482591666666666,292.93168060194205,413.7659988502432
